"","lon","lat"
"469",13.5094648,52.4253121
"472",10.451526,51.165691
"476",8.5556826,40.7259269
"478",-77.4291005,39.4352789
"479",34.851612,31.046051
"480",9.1216613,39.2238411
"482",-95.9931758,36.7525914
"483",13.2739435,52.454918
"484",-84.2807329,30.4382559
"485",-99.133208,19.4326077
"487",-83.0262121,40.110773
"489",-116.5765035,53.9332706
"494",-71.2519374,-29.9026691
"496",-70.6504896,-33.4375545
"497",-77.0368707,38.9071923
"498",23.7275388,37.9838096
"499",-93.0899578,44.9537029
"501",-78.4448055,-1.4702027
"505",-113.7173037,52.475399
"507",-88.7878678,43.7844397
"508",-92.7232456,41.7434092
"509",-72.1023351,-36.6062618
"511",-72.331113,-40.2310217
"513",-71.6886296,42.8801702
"514",-1.833781,53.847389
"515",-99.2215659,18.9242095
"516",-95.1456475,43.1450419
"518",-74.0059728,40.7127753
"520",-77.0947092,38.984652
"521",-97.7430608,30.267153
"522",15.4068079,40.5625825
"524",55.2707828,25.2048493
"527",-94.705405,37.4196255
"528",-70.5573124,-33.3989812
"529",-74.2401609,40.8298006
"533",17.706466,40.658316
"535",101.975766,4.210484
"539",-84.3879824,33.7489954
"540",-103.3496092,20.6596988
"543",100.938608,4.7757118
"544",-77.026088,38.9906657
"545",-61.0471355,-33.6022037
"546",12.1016236,49.0134297
"548",-77.0732748,39.5156627
"550",-122.3320708,47.6062095
"551",-72.1416132,-41.9197779
"553",-70.7406259,-34.1701324
"558",-57.6212403,-25.2748416
"559",-95.712891,37.09024
"560",-122.1817252,37.4529598
"561",23.6236353,46.7712101
"562",11.2486208,43.7710513
"563",-81.5157535,27.6648274
"565",-122.4194155,37.7749295
"570",-75.2135508,39.9954635
"571",9.9936819,53.5510846
"573",-2.9262307,51.105097
"574",-73.722844,40.621995
"575",98.303954,7.892996
"576",-43.1728965,-22.9068467
"579",-1.526087,52.3393289
"582",-117.1610838,32.715738
"583",12.9213697,50.827845
"585",-70.6453887,-33.4456835
"587",-6.2603097,53.3498053
"589",-75.1969346,39.8422093
"590",-6.8498129,33.9715904
"593",-72.5903739,-38.7359018
"596",-84.2807329,30.4382559
"599",18.4240553,-33.9248685
"601",-70.7631335,-33.5209155
"605",136.9065647,35.1801883
"607",-99.9018131,31.9685988
"608",-74.0017286,40.7379246
"610",-78.4678382,-0.1806532
"612",15.1250039,55.062937
"614",-70.6712247,-33.4442959
"615",11.4978895,48.7904472
"616",-99.2215659,18.9242095
"620",-75.6756888,4.5350004
